2025-06-01T16:05:42.337Z - Utilizador: admin | Ação: login | Detalhes: Login efetuado com sucesso
2025-06-01T16:06:52.476Z - Utilizador: zeee | Ação: login | Detalhes: Login efetuado com sucesso
2025-06-01T16:06:57.283Z - Utilizador: zeee | Ação: exportação | Detalhes: Item 326052351 criado via upload SIP
2025-06-01T16:07:03.666Z - Utilizador: admin | Ação: login | Detalhes: Login efetuado com sucesso
2025-06-01T16:10:05.124Z - Utilizador: Rodrigo Lima | Ação: login | Detalhes: Login efetuado com sucesso
2025-06-01T16:12:19.732Z - Utilizador: zeee | Ação: login | Detalhes: Login efetuado com sucesso
2025-06-01T16:12:34.215Z - Utilizador: zeee | Ação: login | Detalhes: Login efetuado com sucesso
2025-06-01T16:13:12.322Z - Utilizador: admin | Ação: login | Detalhes: Login efetuado com sucesso
2025-06-01T16:16:19.418Z - Utilizador: zeee | Ação: login | Detalhes: Login efetuado com sucesso
2025-06-01T16:16:33.418Z - Utilizador: Rodrigo Lima | Ação: login | Detalhes: Login efetuado com sucesso
2025-06-01T16:18:34.509Z - Utilizador: admin | Ação: login | Detalhes: Login efetuado com sucesso
2025-06-01T16:20:26.467Z - Utilizador: rafael | Ação: registo | Detalhes: Novo utilizador registado (rafael)
2025-06-01T16:20:36.253Z - Utilizador: zeee | Ação: remoção_item | Detalhes: Item com ID 326052351 removido
2025-06-01T16:22:38.727Z - Utilizador: admin | Ação: login | Detalhes: Login efetuado com sucesso
2025-06-01T16:25:16.947Z - Utilizador: zeee | Ação: login | Detalhes: Login efetuado com sucesso
2025-06-01T16:25:23.483Z - Utilizador: zeee | Ação: importação | Detalhes: Item 724514312 criado via upload SIP
2025-06-01T16:25:34.796Z - Utilizador: Rodrigo Lima | Ação: login | Detalhes: Login efetuado com sucesso
2025-06-01T16:25:49.025Z - Utilizador: zeee | Ação: login | Detalhes: Login efetuado com sucesso
2025-06-01T16:25:56.957Z - Utilizador: Rodrigo Lima | Ação: login | Detalhes: Login efetuado com sucesso
2025-06-01T16:26:22.690Z - Utilizador: admin | Ação: login | Detalhes: Login efetuado com sucesso
2025-06-01T16:27:46.193Z - Utilizador: Rodrigo Lima | Ação: login | Detalhes: Login efetuado com sucesso
2025-06-01T16:29:08.865Z - Utilizador: Rodrigo Lima | Ação: importação | Detalhes: Item 197099948 criado via upload SIP
2025-06-01T16:29:30.788Z - Utilizador: zeee | Ação: login | Detalhes: Login efetuado com sucesso
2025-06-01T16:29:57.516Z - Utilizador: Rodrigo Lima | Ação: login | Detalhes: Login efetuado com sucesso
2025-06-01T16:30:50.931Z - Utilizador: admin | Ação: login | Detalhes: Login efetuado com sucesso
2025-06-01T16:43:46.010Z - Utilizador: zeee | Ação: registo | Detalhes: Novo utilizador registado (zeee)
2025-06-01T16:43:54.722Z - Utilizador: Rodrigo Lima | Ação: registo | Detalhes: Novo utilizador registado (Rodrigo Lima)
2025-06-01T16:44:03.005Z - Utilizador: admin | Ação: registo | Detalhes: Novo utilizador registado (admin)
2025-06-01T16:44:10.694Z - Utilizador: zeee | Ação: login | Detalhes: Login efetuado com sucesso
2025-06-01T16:44:25.469Z - Utilizador: zeee | Ação: login | Detalhes: Login efetuado com sucesso
2025-06-01T16:45:47.965Z - Utilizador: zeee | Ação: importação | Detalhes: Item 581512089 criado via upload SIP
2025-06-01T16:46:02.591Z - Utilizador: admin | Ação: login | Detalhes: Login efetuado com sucesso
2025-06-01T16:46:20.749Z - Utilizador: rafa | Ação: registo | Detalhes: Novo utilizador registado (rafa)
